1976,35,16,K.C. & THE SUNSHINE BAND,"(SHAKE, SHAKE, SHAKE) SHAKE YOUR BOOTY"
1976,35,18,THE MANHATTANS,KISS AND SAY GOODBYE
1976,35,19,THE BEATLES,BACK IN THE U.S.S.R.
1976,37,7,ELTON JOHN & KIKI DEE,DON'T GO BREAKING MY HEART
1976,37,14,BARBI BENTON,AIN'T THAT JUST THE WAY (THAT LIFES GOES DOWN)
1976,37,15,BEE GEES,YOU SHOULD BE DANCING
1976,37,17,BRYAN FERRY,EXTENDED PLAY
1976,37,19,MELBA MOORE,THIS IS IT
1976,39,9,TINA CHARLES,DANCE LITTLE LADY DANCE
1976,39,12,DR. HOOK,A LITTLE BIT MORE
1976,39,14,PUSSYCAT,MISSISSIPPI
1976,39,19,BRYAN FERRY,LET'S STICK TOGETHER (LET'S WORK TOGETHER)
1976,41,18,5000 VOLTS,DOCTOR KISS KISS
1976,43,17,PENNY MCLEAN,DEVIL EYES
1976,43,18,DAVID BOWIE,TVC 15
1976,43,19,RICK DEES & HIS CAST OF IDIOTS,DISCO DUCK
1976,45,6,HARPO,HOROSCOPE
1976,45,7,BONEY M.,DADDY COOL
1976,45,16,KISS,SHOUT IT OUT LOUD
1976,45,17,JOHNNY WAKELIN,IN ZAIRE
1976,47,9,SWEET,LOST ANGELS
1976,47,14,STATUS QUO,MYSTERY SONG
1976,47,15,DAVID DUNDAS,JEANS ON
1976,47,16,BERNT DAHLBÄCK,"JAG VILL HEM, JAG VILL HEM"
1976,47,17,THE RITCHIE FAMILY,THE BEST DISCO IN TOWN
1976,49,13,CHICAGO,IF YOU LEAVE ME NOW
1976,49,19,LEO SAYER,YOU MAKE ME FEEL LIKE DANCING
1976,51,17,CLIMAX BLUES BAND,COULDN'T GET IT RIGHT
1976,51,19,SVEN INGVARS,FARVÄL TILL SOMMAREN
1976,51,20,ELO,LIVIN' THING
1977,2,10,ROD STEWART,GET BACK
1977,2,14,SMOKIE,LIVING NEXT DOOR TO ALICE
1977,4,6,JAN LINDBLAD,SHENANDOAH
1977,4,14,TINA CHARLES,DR. LOVE
1977,6,10,RICK DEES & HIS CAST OF IDIOTS,DIS-GORILLA
1977,6,16,SHERBET,HOWZAT
1977,6,17,HAROLD MELVIN & THE BLUE NOTES,DON'T LEAVE ME THIS WAY
1977,6,18,JOHN PAUL YOUNG,I HATE THE MUSIC
1977,6,19,ALPINA SKIDLANDSLAGET,DE Ä BAR' Å ÅK!
1977,8,9,BJÖRN SKIFS,LADY
1977,8,15,PENNY MCLEAN,NOBODY'S CHILD
1977,8,16,BRYAN FERRY,THIS IS TOMORROW
1977,8,19,THE HOLLIES,WIGGLE THAT WOTSIT
1977,10,8,SWEET,FEVER OF LOVE
1977,10,11,BONEY M.,SUNNY
1977,10,12,LANDSLAGET,SOMMAR´N -65
1977,10,16,ROSE ROYCE,CAR WASH
1977,10,19,HEATWAVE,BOOGIE NIGHT
1977,12,5,FORBES,BEATLES
1977,12,8,THELMA HOUSTON,DON'T LEAVE ME THIS WAY
1977,12,13,BONNIE TYLER,LOST IN FRANCE
1977,12,17,TOMAS LEDIN,MINNS DU HOLLYWOOD
1977,12,19,JERRY K. GUSTAFSSON & SCAFELL PIKES FJÄLLKVARTETT,DET ÄR SÅ HÄLSOSAMT OCH STÄRKANDE I FJÄLLEN
1977,14,17,GRETA & MALOU,ÅH VILKEN SÅNG
1977,14,18,GRAHAM PARKER + THE RUMOUR,THE PINK PARKER
1977,16,17,J.J. CALE,COCAINE
1977,16,20,SCAFELL PIKE,SKAGERACK
1977,18,18,JOE TEX,AIN'T GONNA BUMP NO MORE (WITH NO BIG FAT WOMAN)
1977,20,10,BONEY M.,MA BAKER
1977,20,12,LINDSEY DE PAUL & MIKE MORAN,ROCK BOTTOM
1977,20,13,SILVER CONVENTION,TELEGRAM
1977,20,17,BONEY M.,STILL I'M SAD
1977,20,19,LA BELLE EPOQUE,BLACK IS BLACK / MISS BROADWAY
1977,22,5,MARIE MYRIAM,L'OISEAU ET L'ENFANT
1977,22,14,GENESIS,SPOT THE PIDGEON
1977,22,17,PEPE LIENHARD BAND,SWISS LADY
1977,22,19,DREAM EXPRESS,"A MILLION IN ONE, TWO, THREE"
1977,22,20,SMOKIE,LAY BACK IN THE ARMS OF SOMEONE
1977,24,14,DR. HOOK,WALK RIGHT IN
1977,24,20,MONICA ASPELUND,LAPPONIA
1977,26,14,10CC,GOOD MORNING JUDGE
1977,26,15,"PASCALIS, MARIANNA, ROBERT AND BESSY",MATHEMA SOLFEGE
1977,26,20,KRAFTWERK,TRANS-EUROPE EXPRESS
1977,28,8,SEX PISTOLS,GOD SAVE THE QUEEN
1977,30,9,BACCARA,"YES SIR, I CAN BOOGIE"
1977,30,14,SEX PISTOLS,PRETTY VACANT
1977,30,18,DONNA SUMMER,I FEEL LOVE
1977,30,20,RAMONES,SHEENA IS A PUNK ROCKER
1977,32,10,MAGNUS UGGLA,VARNING PÅ STAN
1977,32,20,PENNY MCLEAN,"DANCE BUNNY HONEY, DANCE"
1977,34,14,CUMULUS,HÖSTVISA
1977,34,19,C.J. & CO.,DEVIL'S GUN
1977,36,11,LAURENT VOULZY,ROCKOLLECTION
1977,36,14,ELVIS PRESLEY,WAY DOWN
1977,36,15,SMOKIE,IT'S YOUR LIFE
1977,36,18,SPACE,MAGIC FLY
1977,38,13,HOT CHOCOLATE,SO YOU WIN AGAIN
1977,38,15,KJELL HANSSON,ROSLAGENS VIND
1977,38,16,CHICAGO,"BABY, WHAT A BIG SURPRISE"
1977,38,18,HEART,BARRACUDA
1977,40,10,DANNY MIRROR,I REMEMBER ELVIS PRESLEY
1977,40,13,JEAN MICHEL JARRE,OXYGENE IV
1977,42,7,BACCARA,"SORRY, I'M A LADY"
1977,42,17,BILLY HOWARD,KING OF THE COPS
1977,42,20,RAM JAM,BLACK BETTY
1977,44,2,ABBA,THE NAME OF THE GAME
1977,44,13,SEX PISTOLS,HOLIDAYS IN THE SUN
1977,46,11,ELECTRIC LIGHT ORCHESTRA,TURN TO STONE
1977,46,14,QUEEN,WE ARE THE CHAMPIONS
1977,46,16,VILLAGE PEOPLE,SAN FRANSISCO
1977,46,17,PATSY GALLANT,FROM NEW YORK TO L.A.
1977,46,19,MECO,STARS WARS TITLE THEME
1977,48,11,TOM ROBINSON BAND,2-4-6-8 MOTORWAY
1977,48,12,BRIAN CHAPMAN,SAVE ME
1977,48,17,SANTA ESMERALDA,DON'T LET ME BE MISUNDERSTOOD
1977,50,15,ELVIS COSTELLO & THE ATTRACTIONS,WATCHING THE DETECTIVES
1977,50,19,UMBERTO TOZZI,TI AMO
1977,52,12,DARTS,DADDY COOL – THE GIRL CAN'T HELP IT
1977,52,16,WINGS,MULL OF KINTYRE
1977,52,18,CAFÉ CREMÉ,UNLIMITED CITATIONS
1977,53,17,HANK C. BURNETTE,SPINNING ROCK BOOGIE
1977,53,19,EVE BRENNER,LES MATINS SUR LA RIVIéRE
1978,2,18,HOT CHOCOLATE,PUT YOUR LOVE IN ME
1978,2,20,BEE GEES,HOW DEEP IS YOUR LOVE
1978,4,15,BJÖRN SKIFS,"HÄRLIGT, HÄRLIGT MEN FARLIGT, FARLIGT"
1978,4,20,MAXINE NIGHTINGALE,RIGHT BACK WHERE WE STARTED FROM
1978,6,6,BACCARA,DARLING
1978,6,8,BONNIE TYLER,IT'S A HEARTACHE
1978,6,20,IAN DURY,SEX & DRUGS & ROCK & ROLL
1978,8,19,SMOKIE,FOR A FEW DOLLARS MORE
1978,10,10,WIZEX,MISS DECIBEL
1978,10,15,ERUPTION FEAT. PRECIOUS WILSON,I CAN'T STAND THE RAIN
1978,10,17,BEE GEES,STAYIN' ALIVE
1978,10,18,TOM ROBINSON BAND,RISING FREE…
1978,10,20,HARLEQUIN,HARLEQUIN
1978,16,2,PUGH ROGEFELDT,NATTMARA
1978,16,9,BJÖRN SKIFS,DET BLIR ALLTID VÄRRE FRAMÅT NATTEN
1978,16,10,SHEILA B. DEVOTION,SINGIN' IN THE RAIN
1978,16,12,KATE BUSH,WUTHERING HEIGHTS
1978,16,13,PLASTIC BERTRAND,ÇA PLANE POUR MOI
1978,16,16,BOB MARLEY,IS THIS LOVE
1978,16,18,SAMANTHA SANG,EMOTION
1978,16,19,"EARTH, WIND & FIRE",FANTASY
1978,16,20,BLACK GORILLA,GIMME DAT BANANA
1978,18,9,BACCARA,PARLEZ-VOUS FRANCAIS?
1978,18,13,BONEY M.,RIVERS OF BABYLON
1978,18,17,MAGNUM BONUM,SKATEBOARD
1978,18,20,HOT CHOCOLATE,EVERY 1'S A WINNER
1978,20,7,BEE GEES,NIGHT FEVER
1978,20,19,SUZI QUATRO,IF YOU CAN'T GIVE ME LOVE
1978,20,20,PATTI SMITH GROUP,BECAUSE THE NIGHT
1978,22,9,IZHAR COHEN & THE ALPHA-BETA,A-BA-NI-BI
1978,22,15,ANN-LOUISE HANSSON,LÅT INTE DIN SKUGGA FALLA HÄR
1978,22,18,JOHN PAUL YOUNG,LOVE IS IN THE AIR
1978,22,20,TOM ROBINSON BAND,UP AGAINST THE WALL
1978,28,5,DEE D. JACKSON,AUTOMATIC LOVER
1978,28,13,JOHN TRAVOLTA & OLIVIA NEWTON-JOHN,YOU'RE THE ONE THAT I WANT
1978,28,17,ENNIO MORRICONE,EL MUNDIAL
1978,30,10,KAL P. DAL,ROCKA OCH RULLA
1978,30,13,THE ROLLING STONES,MISS YOU
1978,30,17,LA BIONDA,"ONE FOR YOU, ONE FOR ME"
1978,30,20,COPAINS,SKATEBOARD
1978,32,18,SUZI QUATRO,THE RACE IS ON
1978,32,20,THE MOTORS,AIRPORT
1978,34,11,ANDY GIBB,SHADOW DANCING
1978,34,19,BLONDIE,DENIS
1978,34,20,P. R. BATTLE,RADIO LOVES YOU
1978,36,13,CITY BOY,5.7.0.5.
1978,36,14,CLOUT,SUBSTITUTE
1978,36,16,DONNA SUMMER,LAST DANCE
1978,36,18,10CC,DREADLOCK HOLIDAY
1978,36,19,LOVE AND KISSES,THANK GOD IT'S FRIDAY
1978,38,3,ABBA,SUMMER NIGHT CITY
1978,38,14,MAGNUS UGGLA,VITTRING
1978,38,17,THE MOTORS,FORGET ABOUT YOU
1978,38,19,PATRICK JUVET,I LOVE AMERICA
1978,40,10,MARSHALL & HAIN,DANCING IN THE CITY
1978,40,14,FRANKIE VALLI,GREASE
1978,40,15,BLONDIE,PICTURE THIS
