1976,4,18,SILVER CONVENTION,"FLY, ROBIN, FLY",https://music.youtube.com/search?q=SILVER+CONVENTION+FLY%2C+ROBIN%2C+FLY
1976,4,20,STATUS QUO,LIVE,https://music.youtube.com/search?q=STATUS+QUO+LIVE
1976,6,13,TINA CHARLES,YOU SET MY HEART ON FIRE,https://music.youtube.com/search?q=TINA+CHARLES+YOU+SET+MY+HEART+ON+FIRE
1976,6,17,DAVID CASSIDY,DARLIN',https://music.youtube.com/search?q=DAVID+CASSIDY+DARLIN%27
1976,6,18,BILLY SWAN,I CAN HELP,https://music.youtube.com/search?q=BILLY+SWAN+I+CAN+HELP
1976,6,20,HOT CHOCOLATE,YOU SEXY THING,https://music.youtube.com/search?q=HOT+CHOCOLATE+YOU+SEXY+THING
1976,8,14,DONNA SUMMER,LOVE TO LOVE YOU BABY,https://music.youtube.com/search?q=DONNA+SUMMER+LOVE+TO+LOVE+YOU+BABY
1976,8,15,CHUBBY CHECKER,LET'S TWIST AGAIN,https://music.youtube.com/search?q=CHUBBY+CHECKER+LET%27S+TWIST+AGAIN
1976,8,17,EN DAVY,YOU SET MY HEART ON FIRE,https://music.youtube.com/search?q=EN+DAVY+YOU+SET+MY+HEART+ON+FIRE
1976,8,18,GLORIA GAYNOR,HOW HIGH THE MOON,https://music.youtube.com/search?q=GLORIA+GAYNOR+HOW+HIGH+THE+MOON
1976,8,19,QUEEN,BOHEMIAN RHAPSODY,https://music.youtube.com/search?q=QUEEN+BOHEMIAN+RHAPSODY
1976,8,20,NAZARETH,LOVE HURTS,https://music.youtube.com/search?q=NAZARETH+LOVE+HURTS
1976,10,8,SWEET,THE LIES IN YOUR EYES,https://music.youtube.com/search?q=SWEET+THE+LIES+IN+YOUR+EYES
1976,10,17,ANDY SCOTT,LADY STARLIGHT,https://music.youtube.com/search?q=ANDY+SCOTT+LADY+STARLIGHT
1976,10,18,RALPH CARTER,"EXTRA, EXTRA (READ ALL ABOUT IT)",https://music.youtube.com/search?q=RALPH+CARTER+EXTRA%2C+EXTRA+%28READ+ALL+ABOUT+IT%29
1976,12,4,ALPINA SKIDLANDSLAGET,VI ÅK BÄTTRE DA FÖR DA,https://music.youtube.com/search?q=ALPINA+SKIDLANDSLAGET+VI+%C3%85K+B%C3%84TTRE+DA+F%C3%96R+DA
1976,12,9,TINA CHARLES,I LOVE TO LOVE (BUT MY BABY LOVES TO DANCE),https://music.youtube.com/search?q=TINA+CHARLES+I+LOVE+TO+LOVE+%28BUT+MY+BABY+LOVES+TO+DANCE%29
1976,12,19,ERIC ESTEVE,SKY HIGH,https://music.youtube.com/search?q=ERIC+ESTEVE+SKY+HIGH
1976,12,20,JIM CAPALDI,LOVE HURTS,https://music.youtube.com/search?q=JIM+CAPALDI+LOVE+HURTS
1976,14,15,SAILOR,A GLASS OF CHAMPAGNE,https://music.youtube.com/search?q=SAILOR+A+GLASS+OF+CHAMPAGNE
1976,14,18,JIGSAW,SKY HIGH,https://music.youtube.com/search?q=JIGSAW+SKY+HIGH
1976,14,20,SMOKIE,SOMETHING'S BEEN MAKING ME BLUE,https://music.youtube.com/search?q=SMOKIE+SOMETHING%27S+BEEN+MAKING+ME+BLUE
1976,16,4,ABBA,FERNANDO,https://music.youtube.com/search?q=ABBA+FERNANDO
1976,16,11,BROTHERHOOD OF MAN,SAVE YOUR KISSES FOR ME,https://music.youtube.com/search?q=BROTHERHOOD+OF+MAN+SAVE+YOUR+KISSES+FOR+ME
1976,16,14,EL CHICANO,KEEP YOUR EYE ON THE SPARROW (BARETTA'S THEME),https://music.youtube.com/search?q=EL+CHICANO+KEEP+YOUR+EYE+ON+THE+SPARROW+%28BARETTA%27S+THEME%29
1976,16,16,CATHERINE FERRY,"1, 2, 3",https://music.youtube.com/search?q=CATHERINE+FERRY+1%2C+2%2C+3
1976,16,18,10 CC,I'M MANDY FLY ME,https://music.youtube.com/search?q=10+CC+I%27M+MANDY+FLY+ME
1976,16,19,BILLY OCEAN,LOVE REALLY HURTS WITHOUT YOU,https://music.youtube.com/search?q=BILLY+OCEAN+LOVE+REALLY+HURTS+WITHOUT+YOU
1976,18,15,JOHNNIE TAYLOR,DISCO LADY,https://music.youtube.com/search?q=JOHNNIE+TAYLOR+DISCO+LADY
1976,18,17,THE FOUR SEASONS,"DECEMBER, 1963 (OH, WHAT A NIGHT)",https://music.youtube.com/search?q=THE+FOUR+SEASONS+DECEMBER%2C+1963+%28OH%2C+WHAT+A+NIGHT%29
1976,18,19,DANIEL SENTACRUZ,"LINDA, BELLA LINDA",https://music.youtube.com/search?q=DANIEL+SENTACRUZ+LINDA%2C+BELLA+LINDA
1976,18,20,GEORGE MCCRAE,HONEY I,https://music.youtube.com/search?q=GEORGE+MCCRAE+HONEY+I
1976,20,5,SAMMY DAVIS JR.,BARETTA'S THEME,https://music.youtube.com/search?q=SAMMY+DAVIS+JR.+BARETTA%27S+THEME
1976,20,17,ELTON JOHN,GROW SOME FUNK OF YOUR OWN,https://music.youtube.com/search?q=ELTON+JOHN+GROW+SOME+FUNK+OF+YOUR+OWN
1976,20,19,JOHN PAUL YOUNG,YESTERDAY'S HERO,https://music.youtube.com/search?q=JOHN+PAUL+YOUNG+YESTERDAY%27S+HERO
1976,20,20,MATS RÅDBERG,MIN GITARR,https://music.youtube.com/search?q=MATS+R%C3%85DBERG+MIN+GITARR
1976,22,10,PENNY MCLEAN,1-2-3-4… FIRE!,https://music.youtube.com/search?q=PENNY+MCLEAN+1-2-3-4%E2%80%A6+FIRE%21
1976,22,16,SILVER CONVENTION,GET UP AND BOOGIE,https://music.youtube.com/search?q=SILVER+CONVENTION+GET+UP+AND+BOOGIE
1976,24,11,KARLSTAD-ÖRJANS,DET SA BARA KLICK / SILVIA,https://music.youtube.com/search?q=KARLSTAD-%C3%96RJANS+DET+SA+BARA+KLICK+%2F+SILVIA
1976,26,18,ROD STEWART,TONIGHT'S THE NIGHT,https://music.youtube.com/search?q=ROD+STEWART+TONIGHT%27S+THE+NIGHT
1976,26,20,BELLAMY BROTHERS,LET YOUR LOVE FLOW,https://music.youtube.com/search?q=BELLAMY+BROTHERS+LET+YOUR+LOVE+FLOW
1976,28,13,HANK MIZELL,JUNGLE ROCK,https://music.youtube.com/search?q=HANK+MIZELL+JUNGLE+ROCK
1976,28,16,FIRE,"OH, THAT'S MY MAN",https://music.youtube.com/search?q=FIRE+OH%2C+THAT%27S+MY+MAN
1976,28,18,MUD,SHAKE IT DOWN,https://music.youtube.com/search?q=MUD+SHAKE+IT+DOWN
1976,33,8,BJÖRN SKIFS,FIREFLY,https://music.youtube.com/search?q=BJ%C3%96RN+SKIFS+FIREFLY
1976,33,11,HARPO,MOTORCYCLE MAMA,https://music.youtube.com/search?q=HARPO+MOTORCYCLE+MAMA
1976,33,16,REAL THING,YOU TO ME ARE EVERYTHING,https://music.youtube.com/search?q=REAL+THING+YOU+TO+ME+ARE+EVERYTHING
1976,33,17,BILLY OCEAN,L.O.D. (LOVE ON DELIVERY),https://music.youtube.com/search?q=BILLY+OCEAN+L.O.D.+%28LOVE+ON+DELIVERY%29
1976,33,20,WALTER MURPHY & THE BIG APPLE BAND,A FIFTH OF BEETHOVEN,https://music.youtube.com/search?q=WALTER+MURPHY+%26+THE+BIG+APPLE+BAND+A+FIFTH+OF+BEETHOVEN
1976,35,1,ABBA,DANCING QUEEN,https://music.youtube.com/search?q=ABBA+DANCING+QUEEN
1976,35,16,K.C. & THE SUNSHINE BAND,"(SHAKE, SHAKE, SHAKE) SHAKE YOUR BOOTY",https://music.youtube.com/search?q=K.C.+%26+THE+SUNSHINE+BAND+%28SHAKE%2C+SHAKE%2C+SHAKE%29+SHAKE+YOUR+BOOTY
1976,35,18,THE MANHATTANS,KISS AND SAY GOODBYE,https://music.youtube.com/search?q=THE+MANHATTANS+KISS+AND+SAY+GOODBYE
1976,35,19,THE BEATLES,BACK IN THE U.S.S.R.,https://music.youtube.com/search?q=THE+BEATLES+BACK+IN+THE+U.S.S.R.
1976,37,7,ELTON JOHN & KIKI DEE,DON'T GO BREAKING MY HEART,https://music.youtube.com/search?q=ELTON+JOHN+%26+KIKI+DEE+DON%27T+GO+BREAKING+MY+HEART
1976,37,14,BARBI BENTON,AIN'T THAT JUST THE WAY (THAT LIFES GOES DOWN),https://music.youtube.com/search?q=BARBI+BENTON+AIN%27T+THAT+JUST+THE+WAY+%28THAT+LIFES+GOES+DOWN%29
1976,37,15,BEE GEES,YOU SHOULD BE DANCING,https://music.youtube.com/search?q=BEE+GEES+YOU+SHOULD+BE+DANCING
1976,37,17,BRYAN FERRY,EXTENDED PLAY,https://music.youtube.com/search?q=BRYAN+FERRY+EXTENDED+PLAY
1976,37,19,MELBA MOORE,THIS IS IT,https://music.youtube.com/search?q=MELBA+MOORE+THIS+IS+IT
1976,39,9,TINA CHARLES,DANCE LITTLE LADY DANCE,https://music.youtube.com/search?q=TINA+CHARLES+DANCE+LITTLE+LADY+DANCE
1976,39,12,DR. HOOK,A LITTLE BIT MORE,https://music.youtube.com/search?q=DR.+HOOK+A+LITTLE+BIT+MORE
1976,39,14,PUSSYCAT,MISSISSIPPI,https://music.youtube.com/search?q=PUSSYCAT+MISSISSIPPI
1976,39,19,BRYAN FERRY,LET'S STICK TOGETHER (LET'S WORK TOGETHER),https://music.youtube.com/search?q=BRYAN+FERRY+LET%27S+STICK+TOGETHER+%28LET%27S+WORK+TOGETHER%29
1976,41,18,5000 VOLTS,DOCTOR KISS KISS,https://music.youtube.com/search?q=5000+VOLTS+DOCTOR+KISS+KISS
1976,43,17,PENNY MCLEAN,DEVIL EYES,https://music.youtube.com/search?q=PENNY+MCLEAN+DEVIL+EYES
1976,43,18,DAVID BOWIE,TVC 15,https://music.youtube.com/search?q=DAVID+BOWIE+TVC+15
1976,43,19,RICK DEES & HIS CAST OF IDIOTS,DISCO DUCK,https://music.youtube.com/search?q=RICK+DEES+%26+HIS+CAST+OF+IDIOTS+DISCO+DUCK
1976,45,6,HARPO,HOROSCOPE,https://music.youtube.com/search?q=HARPO+HOROSCOPE
1976,45,7,BONEY M.,DADDY COOL,https://music.youtube.com/search?q=BONEY+M.+DADDY+COOL
1976,45,16,KISS,SHOUT IT OUT LOUD,https://music.youtube.com/search?q=KISS+SHOUT+IT+OUT+LOUD
1976,45,17,JOHNNY WAKELIN,IN ZAIRE,https://music.youtube.com/search?q=JOHNNY+WAKELIN+IN+ZAIRE
1976,47,9,SWEET,LOST ANGELS,https://music.youtube.com/search?q=SWEET+LOST+ANGELS
1976,47,14,STATUS QUO,MYSTERY SONG,https://music.youtube.com/search?q=STATUS+QUO+MYSTERY+SONG
1976,47,15,DAVID DUNDAS,JEANS ON,https://music.youtube.com/search?q=DAVID+DUNDAS+JEANS+ON
1976,47,16,BERNT DAHLBÄCK,"JAG VILL HEM, JAG VILL HEM",https://music.youtube.com/search?q=BERNT+DAHLB%C3%84CK+JAG+VILL+HEM%2C+JAG+VILL+HEM
1976,47,17,THE RITCHIE FAMILY,THE BEST DISCO IN TOWN,https://music.youtube.com/search?q=THE+RITCHIE+FAMILY+THE+BEST+DISCO+IN+TOWN
1976,49,13,CHICAGO,IF YOU LEAVE ME NOW,https://music.youtube.com/search?q=CHICAGO+IF+YOU+LEAVE+ME+NOW
1976,49,19,LEO SAYER,YOU MAKE ME FEEL LIKE DANCING,https://music.youtube.com/search?q=LEO+SAYER+YOU+MAKE+ME+FEEL+LIKE+DANCING
1976,51,17,CLIMAX BLUES BAND,COULDN'T GET IT RIGHT,https://music.youtube.com/search?q=CLIMAX+BLUES+BAND+COULDN%27T+GET+IT+RIGHT
1976,51,19,SVEN INGVARS,FARVÄL TILL SOMMAREN,https://music.youtube.com/search?q=SVEN+INGVARS+FARV%C3%84L+TILL+SOMMAREN
1976,51,20,ELO,LIVIN' THING,https://music.youtube.com/search?q=ELO+LIVIN%27+THING
1977,2,10,ROD STEWART,GET BACK,https://music.youtube.com/search?q=ROD+STEWART+GET+BACK
1977,2,14,SMOKIE,LIVING NEXT DOOR TO ALICE,https://music.youtube.com/search?q=SMOKIE+LIVING+NEXT+DOOR+TO+ALICE
1977,4,6,JAN LINDBLAD,SHENANDOAH,https://music.youtube.com/search?q=JAN+LINDBLAD+SHENANDOAH
1977,4,14,TINA CHARLES,DR. LOVE,https://music.youtube.com/search?q=TINA+CHARLES+DR.+LOVE
1977,6,10,RICK DEES & HIS CAST OF IDIOTS,DIS-GORILLA,https://music.youtube.com/search?q=RICK+DEES+%26+HIS+CAST+OF+IDIOTS+DIS-GORILLA
1977,6,16,SHERBET,HOWZAT,https://music.youtube.com/search?q=SHERBET+HOWZAT
1977,6,17,HAROLD MELVIN & THE BLUE NOTES,DON'T LEAVE ME THIS WAY,https://music.youtube.com/search?q=HAROLD+MELVIN+%26+THE+BLUE+NOTES+DON%27T+LEAVE+ME+THIS+WAY
1977,6,18,JOHN PAUL YOUNG,I HATE THE MUSIC,https://music.youtube.com/search?q=JOHN+PAUL+YOUNG+I+HATE+THE+MUSIC
1977,6,19,ALPINA SKIDLANDSLAGET,DE Ä BAR' Å ÅK!,https://music.youtube.com/search?q=ALPINA+SKIDLANDSLAGET+DE+%C3%84+BAR%27+%C3%85+%C3%85K%21
1977,8,9,BJÖRN SKIFS,LADY,https://music.youtube.com/search?q=BJ%C3%96RN+SKIFS+LADY
1977,8,15,PENNY MCLEAN,NOBODY'S CHILD,https://music.youtube.com/search?q=PENNY+MCLEAN+NOBODY%27S+CHILD
1977,8,16,BRYAN FERRY,THIS IS TOMORROW,https://music.youtube.com/search?q=BRYAN+FERRY+THIS+IS+TOMORROW
1977,8,19,THE HOLLIES,WIGGLE THAT WOTSIT,https://music.youtube.com/search?q=THE+HOLLIES+WIGGLE+THAT+WOTSIT
1977,10,8,SWEET,FEVER OF LOVE,https://music.youtube.com/search?q=SWEET+FEVER+OF+LOVE
1977,10,11,BONEY M.,SUNNY,https://music.youtube.com/search?q=BONEY+M.+SUNNY
1977,10,12,LANDSLAGET,SOMMAR´N -65,https://music.youtube.com/search?q=LANDSLAGET+SOMMAR%C2%B4N+-65
1977,10,16,ROSE ROYCE,CAR WASH,https://music.youtube.com/search?q=ROSE+ROYCE+CAR+WASH
1977,10,19,HEATWAVE,BOOGIE NIGHT,https://music.youtube.com/search?q=HEATWAVE+BOOGIE+NIGHT
1977,12,5,FORBES,BEATLES,https://music.youtube.com/search?q=FORBES+BEATLES
1977,12,8,THELMA HOUSTON,DON'T LEAVE ME THIS WAY,https://music.youtube.com/search?q=THELMA+HOUSTON+DON%27T+LEAVE+ME+THIS+WAY
1977,12,13,BONNIE TYLER,LOST IN FRANCE,https://music.youtube.com/search?q=BONNIE+TYLER+LOST+IN+FRANCE
1977,12,17,TOMAS LEDIN,MINNS DU HOLLYWOOD,https://music.youtube.com/search?q=TOMAS+LEDIN+MINNS+DU+HOLLYWOOD
1977,12,19,JERRY K. GUSTAFSSON & SCAFELL PIKES FJÄLLKVARTETT,DET ÄR SÅ HÄLSOSAMT OCH STÄRKANDE I FJÄLLEN,https://music.youtube.com/search?q=JERRY+K.+GUSTAFSSON+%26+SCAFELL+PIKES+FJ%C3%84LLKVARTETT+DET+%C3%84R+S%C3%85+H%C3%84LSOSAMT+OCH+ST%C3%84RKANDE+I+FJ%C3%84LLEN
1977,14,17,GRETA & MALOU,ÅH VILKEN SÅNG,https://music.youtube.com/search?q=GRETA+%26+MALOU+%C3%85H+VILKEN+S%C3%85NG
